cause_of_death,carto_db_cause_of_death,year,dead_and_missing,description
suicide - put on fire,suicide,2011,1,"suicide, failed asylum seeker set himself on fire in Amsterdam (NL), feared deportation (Aug 3, 2011)"
frozen,drowning or exhaustion related death,2011,1,"froze to death, body found in Nea Vissa, Evros (GR) near to Turkish border (Jul 31, 2011)"
run over,"violent accidental death (transport, blown in minefield...)",2011,1,"stowaway, crushed to death, found in the wheel-bay of an Iberia passenger plane in Spain (Jul 12, 2011)"
run over by a train,"violent accidental death (transport, blown in minefield...)",2011,2,"died instantly after being run over by train near Feres (GR) while walking along the railway (Jul 9, 2011)"
shot by the police,authorities related death,2011,1,"An Eritrean boy killed by a shot gun fired by Egyptian border police along the border with Israel in the Sinai desert (Jul 7, 2011)"
lack of medical care,drowning or exhaustion related death,2011,1,"brain haemorrhage, could not receive medical treatment once deported from D to Kosovo (Jun 30, 2011)"
frozen,drowning or exhaustion related death,2011,1,"suspected hypothermia, body found wearing life jacket in Three Stones, Ceuta (E) (Jun 28, 2011)"
shot by the police,authorities related death,2011,4,"The Egyptian border police opened fire on a group of Sudanese intent to pass the Israeli border in the Sinai Desert, killing 4 men (Jun 25, 2011)"
lack of medical care,drowning or exhaustion related death,2011,1,"epileptic seizure, Libyan refugee on boat from Lampedusa(I) to mainland, was known sufferer (Jun 24, 2011). From Del Grande's data set (translated): A citizen of Ghana of 38 years died of a seizure on board the ship Excelsior game the day before from Lampedusa with 1,185 passengers for the various reception centers set up by the Civil Protection in Italy (Jun 25, 2011)"
died from dehydration,drowning or exhaustion related death,2011,2,"died of dehydration on stricken vessel of 53 migrants then rescued off Moroccan coast  (Jun 11, 2011)"
burned or asphyxiated due to arson attack,malicious intent related death / manslaughter,2011,4,"Arson at the refugee camp of Ras Jdayr, at the border between Tunisia and Libya, where there are thousands of displaced people who fled the war in Libya. Deaths 4 Eritreans (May 23, 2011)"
heat exhaustion,drowning or exhaustion related death,2011,2,"stowaway, died of overheating in truck carrying cablewheels in Fulda (D) travelling from Greece (May 11, 2011)"
starved,drowning or exhaustion related death,2011,61,"The British newspaper Guardian raised the complaints of eirtrei of Rome. A boat with 72 on board Eritrean wandered the Mediterranean for two weeks without receiving rescue ships of NATO, who left to die of starvation 61 passengers (May 9, 2011)"
shot,malicious intent related death / manslaughter,2011,1,"Tunisian hit and killed on the Bari bypass while walking to the reception center (Apr 19, 2011)"
police violence,authorities related death,2011,1,A guard at the detention center beat up the victim while arresting him after an escape attempt.  The victim spent an hour on the floor handcuffed before dying shortly afterwards from cardiac arrest.
lack of medical care,drowning or exhaustion related death,2011,1,"no medical help, died giving birth in Rennes (F), homeless since husband put in det. ctr. in NL (Mar 31, 2011)"
lack of medical care,drowning or exhaustion related death,2011,1,"pulmonary embolism on flight to emergency surgery in Strasbourg(F), consulate delayed visa (Mar 25, 2011)"
suicide - hanged,suicide,2011,1,"presumed suicide, found hanged in Cagliari reception centre (I), unclear circumstances    (Mar 11, 2011)"
suicide,suicide,2011,1,Detainee who was sentenced to be deported strangles himself  in his cell
suicide - hanged,suicide,2011,2,"suicide, hanged himself in a shower at Campsfield House Immigration Removal Centre (GB) (Feb 7, 2011)"
lack of medical care,drowning or exhaustion related death,2011,1,"died from heart attack after medical neglect at Colnbrook Immigration Removal Centre (GB)  (Feb 6, 2011)"
asphyxiated,drowning or exhaustion related death,2011,1,"stowaway, asphyxiation, body found in van at Ancona port (I) on ferry coming from GR (Feb 3, 2011)"
frozen,drowning or exhaustion related death,2011,1,"died of hypothermia trying to cross the river Evros between GR and TR, part of group of 15 (Dec 31, 2011)"
illness,drowning or exhaustion related death,2011,1,"died at hospital, Essen (D), deportation threats, interdiction to work contributed to sickness (Dec 31, 2011)"
starved,drowning or exhaustion related death,2011,3,"According Adescam, 3 Congolese women, one of them pregnant, died of starvation after being expelled from Morocco and abandoned in a deserted area on the border with Algeria (Dec 30, 2011)"
frozen,drowning or exhaustion related death,2011,3,"died of hypothermia, body found by the police along the shores of the Evros River (GR) (Dec 26, 2011)"
suicide - other,suicide,2011,1,"presumed suicide in police cell in NL days before deportation, very unclear circumstances (Dec 21, 2011)"
asphyxiated,drowning or exhaustion related death,2011,1,"Found on the roadside in Imola, the lifeless body of a young man died asphyxiated in the truck in which he was hiding in Greece to embark on a ferry to Italy. To abandon the corpse would have been a truck driver (Dec 20, 2011)"
lack of medical care,drowning or exhaustion related death,2011,1,"died of meningitis hours after her admission to hospital from Aluche detention centre (E) (Dec 18, 2011)"
starved,drowning or exhaustion related death,2011,1,"pregnant, died from drinking sea water, boat of 72 went adrift in Mediterranean for 16 days (Dec 3, 2011). From Del Grande's data set (translated): Rescued vessel in distress off the coast of Malta. A board was found the lifeless body of a girl of 29 years (Apr 12, 2011)"
frozen,drowning or exhaustion related death,2011,1,"died of hypothermia, body found in a farming area in Thymaria, Alexandroupoli (GR) (Nov 23, 2011)"
frozen,drowning or exhaustion related death,2011,1,"died of hypothermia, body found in the Peplos region, on banks of Evros River (GR) (Nov 23, 2011)"
car accident,"violent accidental death (transport, blown in minefield...)",2011,2,"died in accident, smugglers  car overturned as they tried to avoid a police road block (Nov 9, 2011)"
suicide - hanged,suicide,2011,1,"suicide, hanged himself in Parc de la Villette, Paris(F) when told he would be deported (Nov 4, 2011)"
car accident,"violent accidental death (transport, blown in minefield...)",2011,1,"stowaway, fell out of a truck near Calais (F) was travelling to GB (Oct 4, 2011)"
starved,drowning or exhaustion related death,2011,1,"died in prison near Misrata (LY) after boat left to drift for 16 days, SOS ignored by NATO (Oct 3, 2011)"
starved,drowning or exhaustion related death,2011,1,"died from thirst and hunger on reaching land, boat drifted for 16 days, SOS ignored by NATO (Oct 3, 2011)"
starved,drowning or exhaustion related death,2011,61,"died from thirst and hunger, boat drifted in Mediterranean for 16 days, SOS ignored by NATO (Oct 3, 2011)"
fall,"violent accidental death (transport, blown in minefield...)",2011,1,"failed asylum seeker, died after jumping from window during police check in Nicosia flat (CY) (Jan 30, 2011)"
starved,drowning or exhaustion related death,2011,1,"stopped breathing, very weak after 4 days wait at Strait of Gibraltar coast for MA-E dinghy  (Jan 22, 2011). From Del Grande's data set (translated): Boy dies of starvation, after four days spent in a forest on the Mediterranean coast of Morocco unnecessarily waiting for a boat that was ferrying across the sea, to Spain (Jan 24, 2011)"
