NCT Number,Title,Status,Conditions,Gender,Age,Phases,Enrollment,Study Type,Start Date,Completion Date,URL,clean_age,min_age,age_groups
NCT04123314,Psilocybin for Depression in People With Mild Cognitive Impairment or Early Alzheimer's Disease,Not yet recruiting,Depressive Symptoms|Depression|Alzheimer Disease|Mild Cognitive Impairment,All,"18 Years and older   (Adult, Older Adult)",Early Phase 1,20,Interventional,"October 15, 2019","September 1, 2022",https://ClinicalTrials.gov/show/NCT04123314,18 Years and older ,18,up to 18 years old
NCT01089582,Quality Of Life Assessment In Alzheimer's Disease (AD) Patients Receiving Aricept Tablets,Completed,Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 4,628,Observational,November 2007,July 2009,https://ClinicalTrials.gov/show/NCT01089582,18 Years and older ,18,up to 18 years old
NCT03049501,Caring for the Caregiver Network,Completed,Caregivers of Alzheimer's Disease or Memory Problem Patients,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,244,Interventional,July 2013,"April 20, 2018",https://ClinicalTrials.gov/show/NCT03049501,18 Years and older ,18,up to 18 years old
NCT03770182,Brain Stimulation for Neurological Patients,Recruiting,Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,60,Interventional,"January 24, 2017","January 1, 2020",https://ClinicalTrials.gov/show/NCT03770182,18 Years and older ,18,up to 18 years old
NCT03033875,"Testing Tele-Savvy, an On-line Psychoeducation Program for Dementia Family Caregivers",Recruiting,Alzheimer Disease|Dementia,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,270,Interventional,"May 18, 2017","November 30, 2020",https://ClinicalTrials.gov/show/NCT03033875,18 Years and older ,18,up to 18 years old
NCT03667924,Utilizing Senior Companions to Enhance Dementia Care,Enrolling by invitation,Alzheimer Disease|Dementia,All,"18 Years and older   (Adult, Older Adult)",Phase 2,25,Interventional,"May 1, 2019",October 2020,https://ClinicalTrials.gov/show/NCT03667924,18 Years and older ,18,up to 18 years old
NCT01117181,Apathy in Dementia Methylphenidate Trial (ADMET),Completed,Apathy|Alzheimer's Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 2,60,Interventional,June 2010,August 2012,https://ClinicalTrials.gov/show/NCT01117181,18 Years and older ,18,up to 18 years old
NCT03654911,Sustainable Method for Alzheimer's Prediction,Not yet recruiting,Alzheimer Disease|Amnestic-Mild Cognitive Impairment,All,"18 Years and older   (Adult, Older Adult)",Phase 4,150,Observational,"September 3, 2018","September 3, 2020",https://ClinicalTrials.gov/show/NCT03654911,18 Years and older ,18,up to 18 years old
NCT02164643,Longitudinal Study of Brain Amyloid imaGing in MEMENTO,"Active, not recruiting",Alzheimer's Disease (AD) and Related Disorders,All,"18 Years and older   (Adult, Older Adult)",Phase 3,448,Interventional,"June 10, 2014",December 2019,https://ClinicalTrials.gov/show/NCT02164643,18 Years and older ,18,up to 18 years old
NCT01978327,"GSK2647544 RD, DDI in Healthy Young and Elderly Volunteers",Terminated,Alzheimer's Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 1,12,Interventional,"November 22, 2013","March 3, 2014",https://ClinicalTrials.gov/show/NCT01978327,18 Years and older ,18,up to 18 years old
NCT00869817,Dominantly Inherited Alzheimer Network (DIAN),Recruiting,Alzheimer's Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 4,700,Observational,January 2009,July 2024,https://ClinicalTrials.gov/show/NCT00869817,18 Years and older ,18,up to 18 years old
NCT03233646,OCTA in Mild Cognitive Impairment and Alzheimer's Disease,Recruiting,Alzheimer Disease|Mild Cognitive Impairment|Retinal Vascular|Parkinson Disease|Multiple Sclerosis|Huntington Disease|Neuro-Degenerative Disease,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,1000,Interventional,"July 20, 2017","April 1, 2021",https://ClinicalTrials.gov/show/NCT03233646,18 Years and older ,18,up to 18 years old
NCT03994237,Accompanying ALZHEIMER CAREGIVER,Completed,Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 4,45,Observational,"December 12, 2018","June 7, 2019",https://ClinicalTrials.gov/show/NCT03994237,18 Years and older ,18,up to 18 years old
NCT02489110,Webnovela for Hispanic Dementia Family Caregivers,Completed,Alzheimer's Disease|Dementia,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,150,Interventional,June 2015,September 2016,https://ClinicalTrials.gov/show/NCT02489110,18 Years and older ,18,up to 18 years old
NCT02752750,Longitudinal Quantitative Susceptibility Mapping (QSM) in Alzheimer 's Disease,Enrolling by invitation,Alzheimer's Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 4,50,Observational,May 2016,May 2020,https://ClinicalTrials.gov/show/NCT02752750,18 Years and older ,18,up to 18 years old
NCT02707978,F 18 T807 Tau PET Imaging of Frontotemporal Dementia (FTD),Withdrawn,Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 2,0,Interventional,"September 30, 2017",December 2020,https://ClinicalTrials.gov/show/NCT02707978,18 Years and older ,18,up to 18 years old
NCT01450891,Health Technology Assessment of Diagnostic Approaches in Alzheimer's Disease,Completed,Neurodegenerative Diseases|Memory Disturbances,All,"18 Years and older   (Adult, Older Adult)",Phase 4,304,Observational,September 2009,July 2013,https://ClinicalTrials.gov/show/NCT01450891,18 Years and older ,18,up to 18 years old
NCT00192998,The Serotonergic Transmitter System in Dementia and Affective Disorders,Unknown status,Mood Disorders|Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 4,100,Observational,October 2003,,https://ClinicalTrials.gov/show/NCT00192998,18 Years and older ,18,up to 18 years old
NCT02319681,"Reminiscence, Anxiety and Early Alzheimer's Disease",Withdrawn,Alzheimer's Disease,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,0,Interventional,January 2015,June 2017,https://ClinicalTrials.gov/show/NCT02319681,18 Years and older ,18,up to 18 years old
NCT02414347,F 18 T807 Tau PET Imaging of Alzheimer's Disease,Enrolling by invitation,Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 2,100,Interventional,October 2014,December 2019,https://ClinicalTrials.gov/show/NCT02414347,18 Years and older ,18,up to 18 years old
NCT04100889,A Non-Interventional Pilot Study to Explore the Role of Gut Flora in Alzheimer's Disease,Not yet recruiting,"Alzheimer Disease|Alzheimer Disease 1|Alzheimer Disease 2|Alzheimer Disease 3|Alzheimer Disease 4|Alzheimer Disease 5|Alzheimer Disease 6|Alzheimer Disease 7|Alzheimer Disease 8|Alzheimer Disease 9, Late-Onset|Alzheimer Disease 10|Alzheimer Disease 11|Alzheimer Disease 12|Alzheimer Disease 13|Alzheimer Disease 14|Alzheimer Disease 15|Alzheimer Disease 16|Alzheimer Disease 17|Alzheimer Disease 18|Alzheimer Disease 19|Alzheimer Disease, Early Onset|Alzheimer Disease, Late Onset|Alzheimer Disease Focal",All,"18 Years and older   (Adult, Older Adult)",Phase 4,100,Observational,September 2019,December 2020,https://ClinicalTrials.gov/show/NCT04100889,18 Years and older ,18,up to 18 years old
NCT02271685,Sound Estimation and Accuracy Task,Completed,Parkinson's|Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,600,Interventional,February 2015,May 2015,https://ClinicalTrials.gov/show/NCT02271685,18 Years and older ,18,up to 18 years old
NCT01672827,Effectiveness of an Electronic Training Program for Orienting and Interpreting [18F]Flutemetamol Positron Emission Tomography (PET) Images,Completed,Alzheimer's Disease|Mild Cognitive Impairment,All,"18 Years and older   (Adult, Older Adult)",Phase 3,276,Interventional,July 2012,August 2012,https://ClinicalTrials.gov/show/NCT01672827,18 Years and older ,18,up to 18 years old
NCT03938870,CNS Tau Kinetics in Healthy Aging and Alzheimer's Disease,Recruiting,"Alzheimer's Disease|Brain Diseases|Central Nervous System Diseases|Delirium, Dementia, Amnestic, Cognitive Disorders|Dementia|Mental Disorders|Nervous System Diseases|Neurodegenerative Diseases|Tauopathies",All,"18 Years and older   (Adult, Older Adult)",Phase 4,100,Observational,August 2015,September 2021,https://ClinicalTrials.gov/show/NCT03938870,18 Years and older ,18,up to 18 years old
NCT03308032,Self-Directed Online Training for Chinese Caregivers,Unknown status,Dementia|Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,120,Interventional,"September 1, 2016","July 30, 2018",https://ClinicalTrials.gov/show/NCT03308032,18 Years and older ,18,up to 18 years old
NCT02556502,18F-Florbetaben PET Amyloid Imaging in Case of Intermediate CSF Biology for the Diagnosis of Alzheimer's Disease : a Pilot Study,Completed,Amyloid PET Imaging,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,40,Interventional,November 2015,November 2017,https://ClinicalTrials.gov/show/NCT02556502,18 Years and older ,18,up to 18 years old
NCT03816228,Imaging of Brain Structural/Functional Connectivity and Amyloid and Tau Lesions in APOE4 Carriers.,Not yet recruiting,Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 2,80,Interventional,"October 14, 2019",June 2025,https://ClinicalTrials.gov/show/NCT03816228,18 Years and older ,18,up to 18 years old
NCT00407576,PET Imaging of Brain Amyloid Using [11C]MeS-IMPY,Completed,Alzheimer's Disease|Healthy,All,"18 Years and older   (Adult, Older Adult)",Phase 1,30,Interventional,"December 1, 2006",,https://ClinicalTrials.gov/show/NCT00407576,18 Years and older ,18,up to 18 years old
NCT02403752,Paired Integrative Home Exercise for Seniors With Dementia and Their Caregivers (PairedPLIE),Completed,Dementia|Alzheimer's Disease,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,20,Interventional,March 2015,July 2018,https://ClinicalTrials.gov/show/NCT02403752,18 Years and older ,18,up to 18 years old
NCT01434667,Risk Evaluation and Education for Alzheimer's Disease (REVEAL) IV,Completed,Mild Cognitive Impairment,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,146,Interventional,January 2010,July 2014,https://ClinicalTrials.gov/show/NCT01434667,18 Years and older ,18,up to 18 years old
NCT03786471,D-CARE - The Dementia Care Study: A Pragmatic Clinical Trial of Health System-Based Versus Community-Based Dementia Care,Recruiting,Dementia,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,2150,Interventional,"July 8, 2019","June 30, 2023",https://ClinicalTrials.gov/show/NCT03786471,18 Years and older ,18,up to 18 years old
NCT02278354,Tau Imaging in Professional Fighters,Completed,Alzheimer's Disease,Male,"18 Years and older   (Adult, Older Adult)",Phase 1,30,Interventional,December 2014,"February 3, 2017",https://ClinicalTrials.gov/show/NCT02278354,18 Years and older ,18,up to 18 years old
NCT03311711,Two-Phased Study of SPIRIT in Mild Dementia,Recruiting,Dementia,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,264,Interventional,"May 4, 2018","May 31, 2022",https://ClinicalTrials.gov/show/NCT03311711,18 Years and older ,18,up to 18 years old
NCT02221661,"Performance of AclarusDx® a Blood-Based Transcriptomic Test for AD, in French Patients Newly Referred to a Memory Center",Completed,Cognitive Impairment|Memory Complaint|Clinical Investigation in Memory Centers,All,"18 Years and older   (Adult, Older Adult)",Phase 4,606,Observational,December 2011,December 2013,https://ClinicalTrials.gov/show/NCT02221661,18 Years and older ,18,up to 18 years old
NCT01638949,Multi-modal Neuroimaging in Alzheimer's Disease,Recruiting,Alzheimer's Disease,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,295,Interventional,May 2012,,https://ClinicalTrials.gov/show/NCT01638949,18 Years and older ,18,up to 18 years old
NCT03987464,Platform-based Mild Cognitive Impairment (MCI) Trial,Not yet recruiting,Mild Cognitive Impairment,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,18,Interventional,November 2019,June 2020,https://ClinicalTrials.gov/show/NCT03987464,18 Years and older ,18,up to 18 years old
NCT02392468,"Study of Systemic and Ocular Safety and Pharmacokinetics of BI 409306 in Patients With Schizophrenia, Alzheimer's Disease, and Healthy Volunteers",Completed,Schizophrenia|Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 1,61,Interventional,"April 15, 2015","August 10, 2017",https://ClinicalTrials.gov/show/NCT02392468,18 Years and older ,18,up to 18 years old
NCT03387267,Videofluoroscopic Swallowing Study (VFSS),Terminated,Stroke|Parkinson Disease|Multiple Sclerosis|Oropharyngeal Dysphagia|Alzheimer Disease|Dementia,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,442,Interventional,"October 24, 2017","July 23, 2018",https://ClinicalTrials.gov/show/NCT03387267,18 Years and older ,18,up to 18 years old
NCT04104659,Study of Tau Imaging With the Use of [18F]MK-6240 Tracer,Recruiting,Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 2,200,Interventional,"April 11, 2019","June 1, 2024",https://ClinicalTrials.gov/show/NCT04104659,18 Years and older ,18,up to 18 years old
NCT03076307,DAT SPECT and Procedural Motor Skills in Parkinson's Disease,Completed,Parkinson Disease,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,9,Interventional,"October 18, 2016","July 19, 2017",https://ClinicalTrials.gov/show/NCT03076307,18 Years and older ,18,up to 18 years old
NCT01700556,A Trial to Support Caregivers of Patients With Dementia in Italy: the UP-TECH Project,Unknown status,Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,900,Interventional,November 2012,January 2015,https://ClinicalTrials.gov/show/NCT01700556,18 Years and older ,18,up to 18 years old
NCT02014246,Genetic Characterization of Movement Disorders and Dementias,Recruiting,"Ataxia|Dystonia|Parkinson's Disease|Amyotrophic Lateral Sclerosis|Corticobasal Degeneration|Multiple System Atrophy|Alzheimer's Disease|Lewy Body Dementia|Parkinson Disease-Dementia|Dentatorubral-pallidoluysian Atrophy|Creutzfeldt-Jakob Disease and Fatal Familial Insomnia|Fragile X-associated Tremor/Ataxia Syndrome|Krabbe's Disease|Niemann-Pick Disease, Type C|Neuronal Ceroid Lipofuscinosis",All,"18 Years and older   (Adult, Older Adult)",Phase 4,12000,Observational,"February 12, 2003","December 31, 2019",https://ClinicalTrials.gov/show/NCT02014246,18 Years and older ,18,up to 18 years old
NCT04055532,Biomarkers in Neurodegenerative Diseases,Not yet recruiting,Mild Cognitive Impairment (MCI)|Alzheimer Disease (AD)|Dementia With Lewy Bodies (DLB)|Frontotemporal Lobar Degeneration (FTLD)|Parkinsons Disease With Dementia (PDD)|Transient Epileptic Amnesia (TEA)|Temporal Lobe Epilepsy (TLE)|Spinocerebellar Ataxias (SCA)|HIV Associated Neurocognitive Disorder (HAND)|Amyotrophic Lateral Sclerosis (ALS)|Primary Lateral Sclerosis (PLS),All,"18 Years and older   (Adult, Older Adult)",Phase 4,200,Observational,"October 1, 2019","October 1, 2025",https://ClinicalTrials.gov/show/NCT04055532,18 Years and older ,18,up to 18 years old
NCT00253227,A Study of the Safety and Effectiveness of a Flexible Dose of Galantamine Versus Placebo in the Treatment of Patients With Alzheimer's Disease,Completed,Alzheimer Disease|Dementia,All,"18 Years and older   (Adult, Older Adult)",Phase 3,387,Interventional,July 1997,December 1998,https://ClinicalTrials.gov/show/NCT00253227,18 Years and older ,18,up to 18 years old
NCT03909347,PLAN: Dementia Literacy Education and Navigation for Korean Elders With Probable Dementia and Their Caregivers,Not yet recruiting,Dementia,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,288,Interventional,July 2020,July 2025,https://ClinicalTrials.gov/show/NCT03909347,18 Years and older ,18,up to 18 years old
